,2010 Census Tract,Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
Brooklyn,311.0,920,46,83,79,37,36,138,79,92,46,40,45,51,31,35,46,36
Brooklyn,313.0,"1,087",60,113,112,39,33,140,89,64,42,50,57,65,48,49,52,74
Brooklyn,314.0,934,44,90,75,37,42,114,73,75,45,59,34,63,44,48,40,51
Brooklyn,315.0,"1,257",45,118,112,49,55,163,124,102,45,58,67,58,55,48,80,78
Brooklyn,317.01,896,43,71,76,37,37,123,75,78,35,43,36,42,41,49,55,55
Brooklyn,317.02,796,28,84,67,25,27,73,79,64,40,38,45,40,41,62,38,45
Brooklyn,319.0,"1,110",51,103,110,47,52,159,86,94,48,51,52,55,41,57,53,51
Brooklyn,321.0,"1,338",57,117,134,59,62,155,111,113,59,67,61,66,71,60,72,74
Brooklyn,323.0,891,49,80,74,31,32,107,84,85,41,43,38,52,47,48,47,33
Brooklyn,325.0,"1,862",92,179,180,89,80,225,166,180,83,85,74,76,82,88,96,87
Brooklyn,326.0,"2,645",91,207,193,81,118,295,261,259,116,148,135,158,150,146,156,131
Brooklyn,327.0,678,21,67,59,32,35,78,54,63,21,36,37,41,34,30,30,40
Brooklyn,328.0,979,37,65,82,38,34,123,74,114,39,48,38,52,51,67,55,62
Brooklyn,329.0,"1,621",100,189,135,65,61,188,127,133,69,77,83,67,70,80,77,100
Brooklyn,330.0,"1,656",47,132,113,65,66,191,127,155,70,96,95,125,95,98,97,84
Brooklyn,331.0,"1,669",128,195,146,65,81,198,138,139,68,82,64,69,65,68,68,95
Brooklyn,333.0,"1,650",94,177,150,53,76,219,130,130,74,77,73,74,63,87,82,91
Brooklyn,335.0,"1,192",45,80,88,40,49,140,88,114,54,54,47,60,63,76,94,100
Brooklyn,336.0,"1,302",56,107,113,54,53,182,108,107,56,60,81,69,52,67,59,78
Brooklyn,337.0,"1,446",86,155,127,70,60,158,115,107,47,47,57,55,69,116,97,80
Brooklyn,339.0,"1,151",49,123,102,48,60,154,99,85,53,51,46,48,61,41,53,78
Brooklyn,340.0,462,22,34,29,21,16,53,33,41,18,35,23,31,31,20,32,23
Brooklyn,341.0,632,29,62,54,23,24,74,54,55,28,38,24,32,36,35,33,31
