index,total,White,Black/ African American,Asian,Two or More Races,Hispanic Origin,race
148.0,219.0,0.7899543379,0.0,0.100456621005,0.00913242009132,0.100456621005,0
150.0,290.0,0.7,0.0,0.179310344828,0.0206896551724,0.1,0
160.0,856.0,0.480140186916,0.035046728972,0.213785046729,0.0280373831776,0.232476635514,2
162.0,330.0,0.536363636364,0.0575757575758,0.118181818182,0.0575757575758,0.212121212121,2
164.0,297.0,0.242424242424,0.222222222222,0.0505050505051,0.0707070707071,0.393939393939,1
168.0,261.0,0.574712643678,0.0,0.27969348659,0.0153256704981,0.114942528736,2
170.0,729.0,0.458161865569,0.00411522633745,0.410150891632,0.0192043895748,0.105624142661,2
172.0,610.0,0.406557377049,0.00491803278689,0.408196721311,0.0295081967213,0.149180327869,2
174.0,373.0,0.479892761394,0.0,0.369973190349,0.0187667560322,0.128686327078,2
176.0,423.0,0.404255319149,0.0141843971631,0.335697399527,0.0260047281324,0.219858156028,2
178.0,602.0,0.327242524917,0.00498338870432,0.405315614618,0.0249169435216,0.232558139535,2
180.0,728.0,0.348901098901,0.00137362637363,0.355769230769,0.0178571428571,0.273351648352,2
182.0,617.0,0.246353322528,0.00486223662885,0.589951377634,0.0226904376013,0.134521880065,4
184.0,387.0,0.540051679587,0.0,0.387596899225,0.0206718346253,0.0490956072351,2
186.0,453.0,0.403973509934,0.0110375275938,0.481236203091,0.0132450331126,0.0883002207506,2
188.0,511.0,0.446183953033,0.0,0.375733855186,0.00391389432485,0.168297455969,2
190.0,1069.0,0.259120673527,0.00561272217025,0.388213283442,0.0177736202058,0.320860617399,2
192.0,951.0,0.622502628812,0.00630914826498,0.199789695058,0.0210304942166,0.143007360673,2
194.0,657.0,0.190258751903,0.00152207001522,0.579908675799,0.0228310502283,0.196347031963,4
196.0,891.0,0.314253647587,0.003367003367,0.416386083053,0.0123456790123,0.252525252525,2
198.0,327.0,0.519877675841,0.0,0.217125382263,0.0122324159021,0.247706422018,2
200.0,520.0,0.521153846154,0.0,0.248076923077,0.00961538461538,0.213461538462,2
202.0,380.0,0.660526315789,0.00263157894737,0.218421052632,0.0157894736842,0.1,0
204.0,338.0,0.739644970414,0.0,0.130177514793,0.00887573964497,0.118343195266,0
206.0,471.0,0.656050955414,0.0,0.148619957537,0.0191082802548,0.176220806794,0
207.0,642.0,0.426791277259,0.291277258567,0.0295950155763,0.105919003115,0.1246105919,2
208.0,615.0,0.289430894309,0.0,0.543089430894,0.0276422764228,0.136585365854,4
210.0,872.0,0.309633027523,0.0045871559633,0.55619266055,0.00573394495413,0.120412844037,4
212.0,1098.0,0.177595628415,0.00455373406193,0.668488160291,0.0173041894353,0.130236794171,4
214.0,765.0,0.650980392157,0.0,0.277124183007,0.0117647058824,0.0575163398693,2
216.0,1754.0,0.896237172178,0.00228050171038,0.0672748004561,0.00741163055872,0.0267958950969,0
218.0,1631.0,0.921520539546,0.00122624156959,0.020846106683,0.00122624156959,0.0533415082771,0
220.0,2062.0,0.914161008729,0.00339476236663,0.0329776915616,0.00436469447139,0.0426770126091,0
221.0,585.0,0.0239316239316,0.757264957265,0.0153846153846,0.0376068376068,0.155555555556,3
222.0,2016.0,0.908234126984,0.0014880952381,0.015873015873,0.00496031746032,0.0674603174603,0
228.0,1300.0,0.652307692308,0.00692307692308,0.184615384615,0.0230769230769,0.125384615385,0
230.0,1982.0,0.797679112008,0.00807265388496,0.0383451059536,0.0116044399596,0.143794147326,0
232.0,2556.0,0.908450704225,0.00195618153365,0.0442097026604,0.0066510172144,0.0383411580595,0
234.0,2147.0,0.979506287844,0.0018630647415,0.00232883092687,0.00419189566837,0.0093153237075,0
236.0,2281.0,0.94695309075,0.00131521262604,0.0381411661552,0.00394563787812,0.00613765892153,0
238.0,1839.0,0.971723762915,0.0,0.00326264274062,0.00435019032083,0.0201196302338,0
240.0,1794.0,0.957636566332,0.00278706800446,0.0111482720178,0.00390189520624,0.0245261984392,0
242.0,1153.0,0.930615784909,0.0,0.0286209887251,0.000867302688638,0.0398959236774,0
244.0,1255.0,0.839043824701,0.000796812749004,0.0780876494024,0.00478087649402,0.0741035856574,0
246.0,1037.0,0.700096432015,0.00675024108004,0.202507232401,0.00385728061716,0.0838958534233,0
248.0,640.0,0.51875,0.0046875,0.3609375,0.00625,0.109375,2
