,census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
Brooklyn,039600,645,597,0,0,2,0,0,1,45
Brooklyn,039700,845,9,431,6,15,0,4,14,366
Brooklyn,039800,585,168,1,0,191,0,0,3,222
Brooklyn,039900,"1,079",23,420,4,28,0,6,12,586
Brooklyn,040000,585,176,1,0,220,0,11,11,166
Brooklyn,040100,844,10,375,0,8,3,5,6,437
Brooklyn,040200,547,139,7,0,271,0,1,9,120
Brooklyn,040300,899,9,524,1,12,0,5,23,325
Brooklyn,040400,504,177,0,3,223,0,2,10,89
Brooklyn,040500,419,10,200,0,3,0,5,3,198
Brooklyn,040600,603,190,6,3,292,0,2,9,101
Brooklyn,040700,5,2,0,0,0,0,0,0,3
Brooklyn,040800,757,187,6,0,349,0,1,24,190
Brooklyn,040900,"1,089",15,220,0,5,0,5,11,833
Brooklyn,041000,292,173,3,0,67,0,0,4,45
Brooklyn,041100,867,6,362,6,9,1,4,6,473
Brooklyn,041200,597,262,2,0,213,0,1,10,109
Brooklyn,041300,"1,029",13,372,0,1,0,7,6,630
Brooklyn,041401,346,292,0,0,9,0,2,6,37
Brooklyn,041402,308,279,3,0,3,0,0,14,9
Brooklyn,041500,"1,192",25,425,3,14,0,4,14,707
Brooklyn,041600,734,665,8,0,16,0,0,2,43
Brooklyn,041700,942,8,215,0,14,0,6,14,685
Brooklyn,041800,689,571,9,0,33,0,0,0,76
Brooklyn,041900,"1,068",20,190,2,4,0,8,6,838
Brooklyn,042000,684,604,3,0,18,0,0,3,56
Brooklyn,042100,"1,008",24,168,1,44,0,2,6,763
Brooklyn,042200,"1,058",788,14,2,41,0,0,18,195
Brooklyn,042300,"1,061",33,67,0,32,0,9,3,917
Brooklyn,042400,774,309,9,2,272,0,6,16,160
Brooklyn,042500,789,24,40,1,2,0,0,3,719
Brooklyn,042600,857,302,2,2,326,0,6,30,189
Brooklyn,042700,"1,234",25,60,2,41,0,3,11,"1,092"
Brooklyn,042800,686,404,0,0,189,0,2,14,77
Brooklyn,042900,"1,452",41,53,0,37,0,15,12,"1,294"
Brooklyn,043000,596,266,1,0,220,0,0,11,98
Brooklyn,043100,"1,329",24,49,0,41,0,4,14,"1,197"
Brooklyn,043200,816,285,6,0,289,0,2,15,219
Brooklyn,043300,"1,139",32,142,4,52,0,8,4,897
Brooklyn,043400,586,259,5,0,166,0,3,9,144
Brooklyn,043500,"1,233",14,217,2,9,0,4,10,977
Brooklyn,043600,781,381,6,0,216,1,8,20,149
Brooklyn,043700,"1,293",28,307,0,14,0,2,9,933
Brooklyn,043800,620,513,5,2,35,0,0,10,55
Brooklyn,043900,967,41,96,1,46,0,5,13,765
Brooklyn,044000,891,756,0,3,33,0,2,6,91
Brooklyn,044100,"1,296",59,37,1,92,0,15,11,"1,081"
Brooklyn,044200,871,797,0,3,19,0,4,7,41
Brooklyn,044300,"1,397",88,41,8,111,0,23,10,"1,116"
Brooklyn,044400,897,744,7,0,32,0,7,6,101
Brooklyn,044500,974,47,16,3,90,0,19,14,785
Brooklyn,044600,387,156,2,0,122,0,1,9,97
Brooklyn,044700,570,22,136,3,11,0,2,8,388
Brooklyn,044800,534,454,6,0,44,0,0,7,23
Brooklyn,044900,607,49,229,0,4,0,5,16,304
Brooklyn,045000,240,218,0,0,6,0,0,5,11
Brooklyn,045200,848,809,7,0,13,0,4,3,12
Brooklyn,045300,283,5,7,0,2,0,2,1,266
Brooklyn,045400,599,508,4,0,40,0,0,3,44
Brooklyn,045600,615,405,7,0,141,1,0,5,56
Brooklyn,045800,452,440,0,0,2,0,0,1,9
Brooklyn,046000,890,361,43,3,347,0,13,17,106
Brooklyn,046201,682,480,6,0,101,0,2,21,72
Brooklyn,046202,606,536,0,4,8,0,0,6,52
Brooklyn,046400,"1,325","1,262",4,0,20,0,1,3,35
Brooklyn,046800,985,956,0,0,3,1,0,9,16
Brooklyn,047000,"1,214","1,197",0,0,1,1,0,6,9
Brooklyn,047200,"1,417","1,389",16,0,0,0,0,6,6
Brooklyn,047400,"1,231","1,216",0,0,1,0,2,7,5
Brooklyn,047600,"1,495","1,401",6,0,13,0,6,17,52
Brooklyn,047700,235,105,1,0,11,0,3,21,94
Brooklyn,047800,"1,897","1,590",14,0,59,0,10,17,207
Brooklyn,048000,"1,353","1,042",16,0,122,0,1,24,148
Brooklyn,048100,263,63,1,0,30,0,1,5,163
Brooklyn,048200,"1,224",482,81,8,450,0,1,52,150
Brooklyn,048400,"1,878","1,392",65,1,137,0,15,27,241
Brooklyn,048500,235,14,24,0,6,0,5,5,181
Brooklyn,048600,"1,108",295,20,8,440,0,3,43,299
Brooklyn,048800,"1,220",654,46,8,274,0,4,50,184
Brooklyn,048900,"1,178",13,502,2,4,0,0,5,652
Brooklyn,049000,"1,410",789,79,5,290,0,20,59,168
Brooklyn,049100,"1,306",276,183,1,303,0,6,12,525
Brooklyn,049200,866,277,106,2,215,0,17,26,223
Brooklyn,049300,"1,551",47,294,2,7,0,9,20,"1,172"
Brooklyn,049400,"1,066",483,101,2,226,0,8,47,199
Brooklyn,049500,256,82,3,0,24,1,1,7,138
Brooklyn,049600,"1,025",276,16,1,378,1,6,31,316
Brooklyn,049700,190,138,2,0,12,0,0,8,30
Brooklyn,049800,918,262,22,3,380,0,5,37,209
Brooklyn,049900,179,114,3,0,4,0,2,9,47
Brooklyn,050000,648,320,27,3,120,0,21,27,130
Brooklyn,050100,243,134,3,0,10,0,0,7,89
Brooklyn,050202,412,276,22,0,12,0,4,23,75
Brooklyn,050300,276,111,3,0,9,0,3,5,145
Brooklyn,050400,852,387,90,2,142,0,13,53,165
Brooklyn,050500,706,33,130,1,91,0,2,12,437
Brooklyn,050600,"1,526",73,549,13,67,0,20,24,780
Brooklyn,050700,"1,199",992,40,0,4,1,2,8,152
Brooklyn,050801,"1,022",29,683,2,24,0,7,20,257
Brooklyn,050803,490,10,366,3,5,0,0,9,97
Brooklyn,050804,"1,499",30,755,2,37,0,11,17,647
Brooklyn,050900,"2,220","2,092",4,2,1,0,5,7,109
Brooklyn,051001,971,21,735,4,8,0,4,4,195
Brooklyn,051002,"1,150",23,786,5,7,0,7,21,301
Brooklyn,051100,620,44,29,0,134,0,0,4,409
Brooklyn,051200,"1,550",67,896,5,39,1,4,34,504
Brooklyn,051300,488,71,24,0,4,0,1,5,383
Brooklyn,051400,"1,709",96,838,8,135,0,13,42,577
Brooklyn,051500,125,65,2,2,6,0,0,7,43
Brooklyn,051601,"1,510",23,"1,045",8,53,0,3,22,356
Brooklyn,051602,994,9,691,0,15,0,9,18,252
Brooklyn,051700,124,77,1,0,2,0,2,4,38
Brooklyn,051800,651,111,330,1,71,0,7,14,117
Brooklyn,051900,326,153,2,0,31,0,1,11,128
Brooklyn,052000,"1,040",140,186,11,375,0,7,33,288
Brooklyn,052300,904,78,10,4,21,0,1,11,779
Brooklyn,052500,"1,190",870,61,0,0,0,13,1,245
Brooklyn,052600,960,226,189,14,274,0,12,55,190
Brooklyn,052700,"1,441",171,33,0,22,0,8,10,"1,197"
Brooklyn,052800,450,177,26,4,162,0,7,14,60
Brooklyn,052900,"1,775","1,695",0,1,1,0,3,24,51
Brooklyn,053000,971,616,35,1,184,0,8,17,110
Brooklyn,053100,"4,093","4,023",2,0,1,0,1,6,60
Brooklyn,053200,612,417,32,0,109,0,0,6,48
Brooklyn,053300,"3,007","2,974",2,0,1,1,1,1,27
Brooklyn,053400,"1,298",846,63,4,264,0,1,17,103
Brooklyn,053500,"1,986","1,901",1,0,3,0,3,6,72
Brooklyn,053700,"1,907","1,904",0,0,1,0,1,1,0
Brooklyn,053800,875,632,14,3,133,0,4,21,68
Brooklyn,053900,"1,063",930,24,2,0,0,3,10,94
Brooklyn,054200,"1,203",990,2,0,84,0,2,11,114
Brooklyn,054300,35,15,2,0,2,0,2,10,4
Brooklyn,054400,804,685,11,0,76,0,5,8,19
Brooklyn,054500,"3,355","2,630",194,11,0,0,22,10,488
Brooklyn,054600,810,639,31,4,65,0,6,18,47
