,,a_year_before,target,year,Wht%,Blc%,Ind%,Asn%,Mix%,His%,0-4,5-9,10-14
78,1,0,0,20022003,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,2,0,0,20022003,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,3,0,0,20022003,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,4,1,0,20022003,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,5,0,1,20022003,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
80,K,1,0,20022003,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,1,0,0,20022003,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,2,0,0,20022003,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,3,0,0,20022003,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,4,0,0,20022003,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,5,0,0,20022003,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
82,K,0,1,20022003,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,1,1,0,20022003,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,2,0,1,20022003,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,3,0,0,20022003,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,4,0,0,20022003,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,5,0,0,20022003,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
90,K,0,0,20022003,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,1,0,0,20022003,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,2,0,0,20022003,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,3,0,0,20022003,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,4,0,0,20022003,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,5,0,1,20022003,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
94,K,12,10,20022003,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,1,14,10,20022003,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,2,3,9,20022003,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,3,10,2,20022003,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,4,8,11,20022003,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,5,8,6,20022003,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
96,K,0,0,20022003,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,1,0,0,20022003,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,2,1,0,20022003,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,3,0,2,20022003,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,4,1,0,20022003,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,5,2,1,20022003,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
98,K,0,0,20022003,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,1,1,0,20022003,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,2,3,1,20022003,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,3,1,3,20022003,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,4,0,1,20022003,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,5,0,0,20022003,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
100,K,28,33,20022003,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,1,31,29,20022003,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,2,27,34,20022003,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,3,24,23,20022003,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,4,28,25,20022003,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,5,23,24,20022003,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
102,K,37,34,20022003,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,1,53,47,20022003,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,2,60,45,20022003,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,3,60,59,20022003,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,4,44,59,20022003,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,5,51,39,20022003,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
104,K,67,86,20022003,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,1,79,76,20022003,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,2,77,71,20022003,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,3,53,68,20022003,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,4,63,53,20022003,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,5,55,65,20022003,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
106,K,43,37,20022003,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,1,55,47,20022003,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,2,48,50,20022003,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,3,51,56,20022003,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,4,43,52,20022003,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,5,46,44,20022003,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
108,K,44,30,20022003,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,1,36,39,20022003,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,2,32,32,20022003,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,3,28,29,20022003,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,4,27,30,20022003,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,5,36,23,20022003,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
110,K,0,0,20022003,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,1,0,0,20022003,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,2,0,0,20022003,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,3,0,0,20022003,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,4,0,0,20022003,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,5,1,0,20022003,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
114,K,18,6,20022003,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,1,26,18,20022003,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,2,12,21,20022003,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,3,18,9,20022003,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,4,12,18,20022003,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,5,15,10,20022003,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
116,K,60,49,20022003,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,1,61,70,20022003,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,2,39,54,20022003,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,3,55,46,20022003,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,4,51,54,20022003,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,5,38,52,20022003,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
118,K,14,24,20022003,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,1,26,18,20022003,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,2,23,33,20022003,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,3,26,22,20022003,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,4,21,27,20022003,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,5,22,18,20022003,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
120,K,11,13,20022003,0.054662379,0,0,0.803858521,0,0.1414791,2,-3,-1
120,1,12,10,20022003,0.054662379,0,0,0.803858521,0,0.1414791,2,-3,-1
