Census Tract,Grade Level,year,target,a_year_before,Wht%,Blc%,Ind%,Asn%,Mix%,His%,0-4,9-May,14-Oct
60,4,20022003,13,14,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,5,20022003,13,19,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
62,K,20022003,16,26,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,1,20022003,22,33,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,2,20022003,35,28,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,3,20022003,30,34,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,4,20022003,30,22,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,5,20022003,19,16,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
64,K,20022003,19,22,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,1,20022003,22,27,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,2,20022003,28,29,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,3,20022003,31,23,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,4,20022003,27,21,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,5,20022003,20,24,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
66,K,20022003,21,32,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,1,20022003,36,26,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,2,20022003,31,34,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,3,20022003,33,25,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,4,20022003,22,18,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,5,20022003,16,26,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
68,K,20022003,56,46,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,1,20022003,49,56,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,2,20022003,55,56,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,3,20022003,59,66,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,4,20022003,71,42,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,5,20022003,47,53,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
70,K,20022003,14,21,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,1,20022003,21,17,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,2,20022003,17,22,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,3,20022003,19,15,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,4,20022003,13,13,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,5,20022003,15,9,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
72,K,20022003,19,21,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,1,20022003,24,23,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,2,20022003,25,39,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,3,20022003,39,28,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,4,20022003,25,19,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,5,20022003,20,26,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
74,K,20022003,82,89,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,1,20022003,94,105,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,2,20022003,98,82,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,3,20022003,87,81,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,4,20022003,72,63,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,5,20022003,62,75,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
75,K,20022003,0,1,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,1,20022003,1,0,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,2,20022003,0,0,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,3,20022003,0,0,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,4,20022003,0,0,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,5,20022003,0,0,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
76,K,20022003,32,38,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,1,20022003,39,46,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,2,20022003,50,40,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,3,20022003,44,34,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,4,20022003,30,34,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,5,20022003,25,40,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
78,K,20022003,0,0,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,1,20022003,0,0,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,2,20022003,0,0,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,3,20022003,0,0,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,4,20022003,0,1,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
78,5,20022003,1,0,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
80,K,20022003,0,1,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,1,20022003,0,0,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,2,20022003,0,0,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,3,20022003,0,0,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,4,20022003,0,0,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
80,5,20022003,0,0,0.055664063,0.016601563,0.001953125,0.043945313,0.0078125,0.8671875,5,-7,-2
82,K,20022003,1,0,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,1,20022003,0,1,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,2,20022003,1,0,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,3,20022003,0,0,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,4,20022003,0,0,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
82,5,20022003,0,0,0.071921182,0.032512315,0.001970443,0.068965517,0.009852217,0.812807882,5,-6,-2
90,K,20022003,0,0,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,1,20022003,0,0,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,2,20022003,0,0,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,3,20022003,0,0,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,4,20022003,0,0,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
90,5,20022003,1,0,0.075282309,0.015056462,0.001254705,0.420326223,0.001254705,0.483061481,4,-4,0
94,K,20022003,10,12,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,1,20022003,10,14,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,2,20022003,9,3,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,3,20022003,2,10,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,4,20022003,11,8,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
94,5,20022003,6,8,0.174946004,0.005759539,0.00287977,0.609071274,0.012239021,0.192224622,6,-10,-3
96,K,20022003,0,0,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,1,20022003,0,0,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,2,20022003,0,1,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,3,20022003,2,0,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,4,20022003,0,1,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
96,5,20022003,1,2,0.05488194,0.008296107,0.004467135,0.263560944,0.011486918,0.653477983,9,-10,-2
98,K,20022003,0,0,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,1,20022003,0,1,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,2,20022003,1,3,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,3,20022003,3,1,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,4,20022003,1,0,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
98,5,20022003,0,0,0.041578947,0.007894737,0.001578947,0.374210526,0.013157895,0.561052632,9,-12,-2
100,K,20022003,33,28,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,1,20022003,29,31,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,2,20022003,34,27,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,3,20022003,23,24,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,4,20022003,25,28,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
100,5,20022003,24,23,0.072481572,0.006142506,0.001228501,0.498771499,0.012899263,0.402334152,7,-12,-3
102,K,20022003,34,37,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,1,20022003,47,53,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,2,20022003,45,60,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,3,20022003,59,60,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,4,20022003,59,44,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
102,5,20022003,39,51,0.02972561,0.009908537,0,0.646341463,0.016768293,0.294207317,7,-9,-1
104,K,20022003,86,67,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,1,20022003,76,79,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,2,20022003,71,77,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,3,20022003,68,53,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,4,20022003,53,63,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
104,5,20022003,65,55,0.058295964,0.010463378,0.002989537,0.842301943,0.023168909,0.062780269,6,-11,-3
106,K,20022003,37,43,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,1,20022003,47,55,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,2,20022003,50,48,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,3,20022003,56,51,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,4,20022003,52,43,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
106,5,20022003,44,46,0.024260804,0.0030326,0.0030326,0.834723275,0.006065201,0.126611069,7,-9,-3
108,K,20022003,30,44,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,1,20022003,39,36,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,2,20022003,32,32,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,3,20022003,29,28,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,4,20022003,30,27,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
108,5,20022003,23,36,0.069785884,0.004758128,0,0.758921491,0.008723236,0.157811261,6,-9,-2
110,K,20022003,0,0,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,1,20022003,0,0,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,2,20022003,0,0,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,3,20022003,0,0,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,4,20022003,0,0,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
110,5,20022003,0,1,0.188821752,0.01510574,0,0.231117825,0.00755287,0.557401813,3,-4,-1
114,K,20022003,6,18,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,1,20022003,18,26,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,2,20022003,21,12,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,3,20022003,9,18,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,4,20022003,18,12,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
114,5,20022003,10,15,0.707482993,0.023809524,0,0.136904762,0.017006803,0.103741497,6,-9,-2
116,K,20022003,49,60,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,1,20022003,70,61,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,2,20022003,54,39,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,3,20022003,46,55,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,4,20022003,54,51,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
116,5,20022003,52,38,0.101949025,0.000749625,0.000749625,0.781109445,0.008995502,0.097451274,6,-11,-2
118,K,20022003,24,14,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,1,20022003,18,26,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,2,20022003,33,23,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,3,20022003,22,26,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,4,20022003,27,21,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
118,5,20022003,18,22,0.064864865,0.001801802,0,0.816216216,0.010810811,0.104504505,2,-4,-1
120,K,20022003,13,11,0.054662379,0,0,0.803858521,0,0.1414791,2,-3,-1
