,2010 Census Tract,Wht%,Blc%,Ind%,Asn%,Mix%,His%,20002001_0-4,20002001_5-9,20002001_10-14,20012002_0-4,20012002_5-9,20012002_10-14,20022003_0-4,20022003_5-9,20022003_10-14,20032004_0-4,20032004_5-9,20032004_10-14,20042005_0-4,20042005_5-9,20042005_10-14,20052006_0-4,20052006_5-9,20052006_10-14,20062007_0-4,20062007_5-9,20062007_10-14,20072008_0-4,20072008_5-9,20072008_10-14,20082009_0-4,20082009_5-9,20082009_10-14,20092010_0-4,20092010_5-9,20092010_10-14,20102011_0-4,20102011_5-9,20102011_10-14,20112012_0-4,20112012_5-9,20112012_10-14,20122013_0-4,20122013_5-9,20122013_10-14,20132014_0-4,20132014_5-9,20132014_10-14,20142015_0-4,20142015_5-9,20142015_10-14,20152016_0-4,20152016_5-9,20152016_10-14,20162017_0-4,20162017_5-9,20162017_10-14,20172018_0-4,20172018_5-9,20172018_10-14
37,106.0,0.024260803639120546,0.003032600454890068,0.003032600454890068,0.8347232752084913,0.006065200909780136,0.12661106899166036,-1,-57,46,9,-10,4,7,-9,-3,15,-6,-2,7,-4,-6,-13,9,0,-9,-13,-14,9,15,-6,3.0,5.0,-18.0,-49.0,-38.0,-5.0,3,4,7,3,6,7,3,5,7,3,4,7,3,6,7,1,1,0,2,2,1,0,1,-1
38,108.0,0.06978588421887391,0.004758128469468675,0.0,0.7589214908802537,0.008723235527359239,0.1578112609040444,82,102,-24,11,-10,3,6,-9,-2,18,-7,-2,8,-3,-5,-16,11,1,-8,-14,-11,9,16,-5,3.0,3.0,-15.0,-53.0,-41.0,-4.0,4,6,6,3,5,5,3,5,6,3,6,6,4,5,6,1,2,-1,1,1,0,2,2,1
39,110.0,0.18882175226586104,0.015105740181268883,0.0,0.2311178247734139,0.0075528700906344415,0.5574018126888217,60,63,44,5,-5,2,3,-4,-1,8,-3,-1,3,-2,-3,-6,5,1,-4,-6,-6,3,8,-3,3.0,3.0,-9.0,-26.0,-22.0,-3.0,1,3,3,2,3,4,2,2,3,1,4,4,1,2,3,1,1,1,1,1,0,0,1,-1
40,114.0,0.7074829931972789,0.023809523809523808,0.0,0.13690476190476192,0.017006802721088437,0.10374149659863946,71,85,-24,9,-9,2,6,-9,-2,14,-7,-2,6,-4,-5,-12,10,0,-8,-11,-10,8,14,-6,3.0,2.0,-16.0,-45.0,-38.0,-3.0,3,6,6,3,6,6,3,5,6,2,5,6,3,6,7,1,1,-1,1,1,0,1,1,-1
41,116.0,0.10194902548725637,0.0007496251874062968,0.0007496251874062968,0.7811094452773614,0.008995502248875561,0.09745127436281859,72,159,100,11,-11,4,6,-11,-2,16,-8,-2,7,-4,-6,-14,13,1,-8,-15,-13,8,17,-5,4.0,5.0,-17.0,-50.0,-43.0,-3.0,3,6,7,3,6,6,3,6,7,3,6,7,3,6,6,1,2,0,1,1,-1,2,2,1
42,118.0,0.06486486486486487,0.0018018018018018018,0.0,0.8162162162162162,0.010810810810810811,0.1045045045045045,47,58,21,4,-4,1,2,-4,-1,7,-3,-1,3,-1,-3,-6,4,1,-3,-5,-6,3,7,-3,2.0,1.0,-6.0,-21.0,-16.0,-2.0,2,2,3,1,3,3,1,2,3,1,2,2,2,2,3,0,0,0,1,1,1,0,1,0
43,120.0,0.05466237942122187,0.0,0.0,0.8038585209003215,0.0,0.1414790996784566,-3,29,10,2,-2,1,2,-3,-1,3,-2,0,1,-1,-2,-3,3,0,-1,-4,-3,1,4,-1,1.0,2.0,-4.0,-10.0,-11.0,-1.0,1,1,2,0,2,1,1,1,1,0,1,2,1,2,2,0,0,0,1,1,0,0,0,0
44,122.0,0.075037147102526,0.004457652303120356,0.0007429420505200594,0.3707280832095097,0.005200594353640416,0.5430906389301634,58,18,16,10,-10,4,7,-10,-2,16,-6,-3,6,-4,-5,-13,11,1,-9,-14,-13,9,17,-6,3.0,3.0,-18.0,-50.0,-41.0,-5.0,3,6,7,3,5,6,3,6,7,3,5,7,4,5,6,1,1,0,1,2,1,2,2,-1
45,126.0,0.40649149922720246,0.030911901081916538,0.0,0.2921174652241113,0.05409582689335394,0.2117465224111283,186,219,187,4,-5,2,3,-4,-2,7,-4,0,3,-2,-4,-6,5,0,-3,-7,-6,3,8,-3,2.0,3.0,-9.0,-22.0,-22.0,-2.0,1,3,3,1,3,4,2,2,3,1,3,3,1,3,4,1,1,0,0,1,0,1,0,0
46,128.01,0.24888888888888888,0.008888888888888889,0.0,0.6222222222222222,0.02666666666666667,0.09333333333333334,15,-11,32,3,-4,1,2,-3,-1,6,-1,-1,2,-1,-3,-5,2,1,-3,-4,-6,3,4,-2,2.0,2.0,-6.0,-18.0,-12.0,-2.0,1,2,3,1,1,2,1,1,3,1,3,3,1,0,2,1,2,0,0,0,-1,0,0,0
47,130.0,0.4652711703139867,0.013320647002854425,0.0,0.15128449096098953,0.05042816365366318,0.31303520456707895,25,-1,23,7,-7,4,5,-8,-3,13,-5,-2,4,-3,-6,-9,8,1,-7,-10,-11,6,12,-6,3.0,3.0,-16.0,-38.0,-31.0,-4.0,3,4,7,2,5,5,2,4,6,2,4,6,2,4,7,1,1,0,2,1,0,0,0,-1
48,132.0,0.43399638336347196,0.003616636528028933,0.0,0.37613019891500904,0.0216998191681736,0.16455696202531644,-25,-5,56,4,-3,2,1,-5,-2,6,-3,-2,2,-1,-3,-4,3,0,-3,-5,-7,2,6,-3,2.0,2.0,-8.0,-17.0,-15.0,-3.0,1,2,4,1,2,3,1,2,3,1,2,4,1,1,3,1,2,0,0,0,0,0,0,0
49,134.0,0.592326139088729,0.02158273381294964,0.0,0.1366906474820144,0.047961630695443645,0.2014388489208633,-5,31,38,4,-7,2,4,-8,-2,8,-5,-2,4,-3,-4,-7,7,0,-5,-10,-8,5,11,-4,2.0,4.0,-12.0,-27.0,-29.0,-2.0,2,4,5,1,3,4,2,4,4,1,5,5,2,4,5,1,1,-1,1,1,0,1,0,-1
50,136.0,0.6176470588235294,0.003676470588235294,0.0012254901960784314,0.11029411764705882,0.04411764705882353,0.2193627450980392,17,6,49,5,-6,2,4,-6,-2,9,-5,-2,3,-2,-5,-7,7,1,-4,-9,-9,4,9,-4,2.0,3.0,-12.0,-28.0,-24.0,-3.0,2,4,5,2,3,4,1,2,5,2,3,5,1,4,4,1,0,0,1,2,0,1,0,0
